"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","selectedOption","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","133661","0.0-0.0","7A6AA9688475451483AAA897B6B5018A","7A6AA9688475451483AAA897B6B5018A","a9c29d70-d33e-4b32-b774-675b6b7564a8","ae6acebb-feef-45c0-a90a-29a5731c80e9","{""participantId"":""7A6AA9688475451483AAA897B6B5018A"",""assignmentId"":""a9c29d70-d33e-4b32-b774-675b6b7564a8"",""projectId"":""ae6acebb-feef-45c0-a90a-29a5731c80e9""}","https://test12345.live/?participantId=7A6AA9688475451483AAA897B6B5018A&assignmentId=a9c29d70-d33e-4b32-b774-675b6b7564a8&projectId=ae6acebb-feef-45c0-a90a-29a5731c80e9","[{""timeline"":[{""stimulus"":""images/causal_sequence/package_causal/package_causal_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/semantic_sequence/traveling_semantic/traveling_semantic_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/causal_sequence/dog_causal/dog_causal_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/causal_sequence/museum_causal/museum_causal_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/semantic_sequence/creative_activities_semantic/creative_activities_semantic_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/semantic_sequence/physical_activity_semantic/physical_activity_semantic_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/semantic_sequence/housework_semantic/housework_semantic_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/schematic_sequence/hotel_scheme/hotel_scheme_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/schematic_sequence/restaurant_scheme/restaurant_scheme_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/causal_sequence/coin_causal/coin_causal_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/causal_sequence/the_performance_causal/the_performance_causal_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/semantic_sequence/cat_care_semantic/cat_care_semantic_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/schematic_sequence/flight_scheme/flight_scheme_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/schematic_sequence/supermarket_scheme/supermarket_scheme_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/schematic_sequence/interview_scheme/interview_scheme_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/semantic_sequence/market_semantic/market_semantic_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/causal_sequence/saving_a_cat_causal/saving_a_cat_causal_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/schematic_sequence/dinner_party_scheme/dinner_party_scheme_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]}]","7A6AA9688475451483AAA897B6B5018A-2024-09-22-17-06-26","","","","","","",""
"","","","","","instructions","1","251574","0.0-1.0","7A6AA9688475451483AAA897B6B5018A","7A6AA9688475451483AAA897B6B5018A","a9c29d70-d33e-4b32-b774-675b6b7564a8","ae6acebb-feef-45c0-a90a-29a5731c80e9","{""participantId"":""7A6AA9688475451483AAA897B6B5018A"",""assignmentId"":""a9c29d70-d33e-4b32-b774-675b6b7564a8"",""projectId"":""ae6acebb-feef-45c0-a90a-29a5731c80e9""}","https://test12345.live/?participantId=7A6AA9688475451483AAA897B6B5018A&assignmentId=a9c29d70-d33e-4b32-b774-675b6b7564a8&projectId=ae6acebb-feef-45c0-a90a-29a5731c80e9","[{""timeline"":[{""stimulus"":""images/causal_sequence/package_causal/package_causal_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/semantic_sequence/traveling_semantic/traveling_semantic_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/causal_sequence/dog_causal/dog_causal_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/causal_sequence/museum_causal/museum_causal_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/semantic_sequence/creative_activities_semantic/creative_activities_semantic_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/semantic_sequence/physical_activity_semantic/physical_activity_semantic_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/semantic_sequence/housework_semantic/housework_semantic_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/schematic_sequence/hotel_scheme/hotel_scheme_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/schematic_sequence/restaurant_scheme/restaurant_scheme_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/causal_sequence/coin_causal/coin_causal_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/causal_sequence/the_performance_causal/the_performance_causal_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/semantic_sequence/cat_care_semantic/cat_care_semantic_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/schematic_sequence/flight_scheme/flight_scheme_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/schematic_sequence/supermarket_scheme/supermarket_scheme_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/schematic_sequence/interview_scheme/interview_scheme_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/semantic_sequence/market_semantic/market_semantic_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/causal_sequence/saving_a_cat_causal/saving_a_cat_causal_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/schematic_sequence/dinner_party_scheme/dinner_party_scheme_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]}]","7A6AA9688475451483AAA897B6B5018A-2024-09-22-17-06-26","[{""page_index"":0,""viewing_time"":117911}]","117912","","","","",""
"","","","","","instructions","2","276794","0.0-2.0","7A6AA9688475451483AAA897B6B5018A","7A6AA9688475451483AAA897B6B5018A","a9c29d70-d33e-4b32-b774-675b6b7564a8","ae6acebb-feef-45c0-a90a-29a5731c80e9","{""participantId"":""7A6AA9688475451483AAA897B6B5018A"",""assignmentId"":""a9c29d70-d33e-4b32-b774-675b6b7564a8"",""projectId"":""ae6acebb-feef-45c0-a90a-29a5731c80e9""}","https://test12345.live/?participantId=7A6AA9688475451483AAA897B6B5018A&assignmentId=a9c29d70-d33e-4b32-b774-675b6b7564a8&projectId=ae6acebb-feef-45c0-a90a-29a5731c80e9","[{""timeline"":[{""stimulus"":""images/causal_sequence/package_causal/package_causal_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/semantic_sequence/traveling_semantic/traveling_semantic_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/causal_sequence/dog_causal/dog_causal_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/causal_sequence/museum_causal/museum_causal_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/semantic_sequence/creative_activities_semantic/creative_activities_semantic_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/semantic_sequence/physical_activity_semantic/physical_activity_semantic_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/semantic_sequence/housework_semantic/housework_semantic_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/schematic_sequence/hotel_scheme/hotel_scheme_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/schematic_sequence/restaurant_scheme/restaurant_scheme_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/causal_sequence/coin_causal/coin_causal_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/causal_sequence/the_performance_causal/the_performance_causal_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/semantic_sequence/cat_care_semantic/cat_care_semantic_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/schematic_sequence/flight_scheme/flight_scheme_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/schematic_sequence/supermarket_scheme/supermarket_scheme_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/schematic_sequence/interview_scheme/interview_scheme_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/semantic_sequence/market_semantic/market_semantic_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/causal_sequence/saving_a_cat_causal/saving_a_cat_causal_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/schematic_sequence/dinner_party_scheme/dinner_party_scheme_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]}]","7A6AA9688475451483AAA897B6B5018A-2024-09-22-17-06-26","[{""page_index"":0,""viewing_time"":25218}]","25218","","","","",""
"true","","","","","fullscreen","3","280376","0.0-3.0","7A6AA9688475451483AAA897B6B5018A","7A6AA9688475451483AAA897B6B5018A","a9c29d70-d33e-4b32-b774-675b6b7564a8","ae6acebb-feef-45c0-a90a-29a5731c80e9","{""participantId"":""7A6AA9688475451483AAA897B6B5018A"",""assignmentId"":""a9c29d70-d33e-4b32-b774-675b6b7564a8"",""projectId"":""ae6acebb-feef-45c0-a90a-29a5731c80e9""}","https://test12345.live/?participantId=7A6AA9688475451483AAA897B6B5018A&assignmentId=a9c29d70-d33e-4b32-b774-675b6b7564a8&projectId=ae6acebb-feef-45c0-a90a-29a5731c80e9","[{""timeline"":[{""stimulus"":""images/causal_sequence/package_causal/package_causal_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/semantic_sequence/traveling_semantic/traveling_semantic_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/causal_sequence/dog_causal/dog_causal_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/causal_sequence/museum_causal/museum_causal_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/semantic_sequence/creative_activities_semantic/creative_activities_semantic_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/semantic_sequence/physical_activity_semantic/physical_activity_semantic_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/semantic_sequence/housework_semantic/housework_semantic_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/schematic_sequence/hotel_scheme/hotel_scheme_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/schematic_sequence/restaurant_scheme/restaurant_scheme_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/causal_sequence/coin_causal/coin_causal_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/causal_sequence/the_performance_causal/the_performance_causal_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/semantic_sequence/cat_care_semantic/cat_care_semantic_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/schematic_sequence/flight_scheme/flight_scheme_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/schematic_sequence/supermarket_scheme/supermarket_scheme_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/schematic_sequence/interview_scheme/interview_scheme_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/semantic_sequence/market_semantic/market_semantic_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/causal_sequence/saving_a_cat_causal/saving_a_cat_causal_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/schematic_sequence/dinner_party_scheme/dinner_party_scheme_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]}]","7A6AA9688475451483AAA897B6B5018A-2024-09-22-17-06-26","","2576","","","","",""
"","","","","","initialize-microphone","4","292625","0.0-4.0-0.0","7A6AA9688475451483AAA897B6B5018A","7A6AA9688475451483AAA897B6B5018A","a9c29d70-d33e-4b32-b774-675b6b7564a8","ae6acebb-feef-45c0-a90a-29a5731c80e9","{""participantId"":""7A6AA9688475451483AAA897B6B5018A"",""assignmentId"":""a9c29d70-d33e-4b32-b774-675b6b7564a8"",""projectId"":""ae6acebb-feef-45c0-a90a-29a5731c80e9""}","https://test12345.live/?participantId=7A6AA9688475451483AAA897B6B5018A&assignmentId=a9c29d70-d33e-4b32-b774-675b6b7564a8&projectId=ae6acebb-feef-45c0-a90a-29a5731c80e9","[{""timeline"":[{""stimulus"":""images/causal_sequence/package_causal/package_causal_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/semantic_sequence/traveling_semantic/traveling_semantic_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/causal_sequence/dog_causal/dog_causal_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/causal_sequence/museum_causal/museum_causal_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/semantic_sequence/creative_activities_semantic/creative_activities_semantic_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/semantic_sequence/physical_activity_semantic/physical_activity_semantic_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/semantic_sequence/housework_semantic/housework_semantic_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/schematic_sequence/hotel_scheme/hotel_scheme_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/schematic_sequence/restaurant_scheme/restaurant_scheme_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/causal_sequence/coin_causal/coin_causal_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/causal_sequence/the_performance_causal/the_performance_causal_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/semantic_sequence/cat_care_semantic/cat_care_semantic_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/schematic_sequence/flight_scheme/flight_scheme_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/schematic_sequence/supermarket_scheme/supermarket_scheme_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/schematic_sequence/interview_scheme/interview_scheme_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/semantic_sequence/market_semantic/market_semantic_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/causal_sequence/saving_a_cat_causal/saving_a_cat_causal_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]},{""timeline"":[{""stimulus"":""images/schematic_sequence/dinner_party_scheme/dinner_party_scheme_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":6000}]}]","7A6AA9688475451483AAA897B6B5018A-2024-09-22-17-06-26","","","08520efdfe083be45208082d1cc0c176926103bed4d2366e39127c31c9684792","","","",""
