"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","selectedOption","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","31941","0.0-0.0","ZZ1ZED8462CA34E3992DBC1F4207A32D4","ZZ1ZED8462CA34E3992DBC1F4207A32D4","12354354364363","mgchgfjhgfjcj","{""participantId"":""ZZ1ZED8462CA34E3992DBC1F4207A32D4"",""assignmentId"":""12354354364363"",""projectId"":""mgchgfjhgfjcj"",""fast_test"":""1"",""num_seqs"":""2""}","https://test12345.live/?participantId=ZZ1ZED8462CA34E3992DBC1F4207A32D4&assignmentId=12354354364363&projectId=mgchgfjhgfjcj&fast_test=1&num_seqs=2","[{""timeline"":[{""stimulus"":""images/schematic_sequence/supermarket_scheme/supermarket_scheme_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":1500}]},{""timeline"":[{""stimulus"":""images/semantic_sequence/market_semantic/market_semantic_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":1500}]},{""timeline"":[{""stimulus"":""images/schematic_sequence/restaurant_scheme/restaurant_scheme_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":1500}]},{""timeline"":[{""stimulus"":""images/causal_sequence/museum_causal/museum_causal_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":1500}]},{""timeline"":[{""stimulus"":""images/semantic_sequence/physical_activity_semantic/physical_activity_semantic_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":1500}]},{""timeline"":[{""stimulus"":""images/causal_sequence/saving_a_cat_causal/saving_a_cat_causal_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":1500}]}]","ZZ1ZED8462CA34E3992DBC1F4207A32D4-2024-09-22-10-56-25","","","","","","",""
"","","","","","instructions","1","33976","0.0-1.0","ZZ1ZED8462CA34E3992DBC1F4207A32D4","ZZ1ZED8462CA34E3992DBC1F4207A32D4","12354354364363","mgchgfjhgfjcj","{""participantId"":""ZZ1ZED8462CA34E3992DBC1F4207A32D4"",""assignmentId"":""12354354364363"",""projectId"":""mgchgfjhgfjcj"",""fast_test"":""1"",""num_seqs"":""2""}","https://test12345.live/?participantId=ZZ1ZED8462CA34E3992DBC1F4207A32D4&assignmentId=12354354364363&projectId=mgchgfjhgfjcj&fast_test=1&num_seqs=2","[{""timeline"":[{""stimulus"":""images/schematic_sequence/supermarket_scheme/supermarket_scheme_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":1500}]},{""timeline"":[{""stimulus"":""images/semantic_sequence/market_semantic/market_semantic_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":1500}]},{""timeline"":[{""stimulus"":""images/schematic_sequence/restaurant_scheme/restaurant_scheme_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":1500}]},{""timeline"":[{""stimulus"":""images/causal_sequence/museum_causal/museum_causal_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":1500}]},{""timeline"":[{""stimulus"":""images/semantic_sequence/physical_activity_semantic/physical_activity_semantic_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":1500}]},{""timeline"":[{""stimulus"":""images/causal_sequence/saving_a_cat_causal/saving_a_cat_causal_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":1500}]}]","ZZ1ZED8462CA34E3992DBC1F4207A32D4-2024-09-22-10-56-25","[{""page_index"":0,""viewing_time"":2034}]","2035","","","","",""
"","","","","","instructions","2","36221","0.0-2.0","ZZ1ZED8462CA34E3992DBC1F4207A32D4","ZZ1ZED8462CA34E3992DBC1F4207A32D4","12354354364363","mgchgfjhgfjcj","{""participantId"":""ZZ1ZED8462CA34E3992DBC1F4207A32D4"",""assignmentId"":""12354354364363"",""projectId"":""mgchgfjhgfjcj"",""fast_test"":""1"",""num_seqs"":""2""}","https://test12345.live/?participantId=ZZ1ZED8462CA34E3992DBC1F4207A32D4&assignmentId=12354354364363&projectId=mgchgfjhgfjcj&fast_test=1&num_seqs=2","[{""timeline"":[{""stimulus"":""images/schematic_sequence/supermarket_scheme/supermarket_scheme_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":1500}]},{""timeline"":[{""stimulus"":""images/semantic_sequence/market_semantic/market_semantic_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":1500}]},{""timeline"":[{""stimulus"":""images/schematic_sequence/restaurant_scheme/restaurant_scheme_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":1500}]},{""timeline"":[{""stimulus"":""images/causal_sequence/museum_causal/museum_causal_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":1500}]},{""timeline"":[{""stimulus"":""images/semantic_sequence/physical_activity_semantic/physical_activity_semantic_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":1500}]},{""timeline"":[{""stimulus"":""images/causal_sequence/saving_a_cat_causal/saving_a_cat_causal_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":1500}]}]","ZZ1ZED8462CA34E3992DBC1F4207A32D4-2024-09-22-10-56-25","[{""page_index"":0,""viewing_time"":2244}]","2244","","","","",""
"true","","","","","fullscreen","3","38137","0.0-3.0","ZZ1ZED8462CA34E3992DBC1F4207A32D4","ZZ1ZED8462CA34E3992DBC1F4207A32D4","12354354364363","mgchgfjhgfjcj","{""participantId"":""ZZ1ZED8462CA34E3992DBC1F4207A32D4"",""assignmentId"":""12354354364363"",""projectId"":""mgchgfjhgfjcj"",""fast_test"":""1"",""num_seqs"":""2""}","https://test12345.live/?participantId=ZZ1ZED8462CA34E3992DBC1F4207A32D4&assignmentId=12354354364363&projectId=mgchgfjhgfjcj&fast_test=1&num_seqs=2","[{""timeline"":[{""stimulus"":""images/schematic_sequence/supermarket_scheme/supermarket_scheme_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":1500}]},{""timeline"":[{""stimulus"":""images/semantic_sequence/market_semantic/market_semantic_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":1500}]},{""timeline"":[{""stimulus"":""images/schematic_sequence/restaurant_scheme/restaurant_scheme_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":1500}]},{""timeline"":[{""stimulus"":""images/causal_sequence/museum_causal/museum_causal_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":1500}]},{""timeline"":[{""stimulus"":""images/semantic_sequence/physical_activity_semantic/physical_activity_semantic_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":1500}]},{""timeline"":[{""stimulus"":""images/causal_sequence/saving_a_cat_causal/saving_a_cat_causal_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":1500}]}]","ZZ1ZED8462CA34E3992DBC1F4207A32D4-2024-09-22-10-56-25","","903","","","","",""
"","","","","","initialize-microphone","4","39731","0.0-4.0-0.0","ZZ1ZED8462CA34E3992DBC1F4207A32D4","ZZ1ZED8462CA34E3992DBC1F4207A32D4","12354354364363","mgchgfjhgfjcj","{""participantId"":""ZZ1ZED8462CA34E3992DBC1F4207A32D4"",""assignmentId"":""12354354364363"",""projectId"":""mgchgfjhgfjcj"",""fast_test"":""1"",""num_seqs"":""2""}","https://test12345.live/?participantId=ZZ1ZED8462CA34E3992DBC1F4207A32D4&assignmentId=12354354364363&projectId=mgchgfjhgfjcj&fast_test=1&num_seqs=2","[{""timeline"":[{""stimulus"":""images/schematic_sequence/supermarket_scheme/supermarket_scheme_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":1500}]},{""timeline"":[{""stimulus"":""images/semantic_sequence/market_semantic/market_semantic_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":1500}]},{""timeline"":[{""stimulus"":""images/schematic_sequence/restaurant_scheme/restaurant_scheme_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":1500}]},{""timeline"":[{""stimulus"":""images/causal_sequence/museum_causal/museum_causal_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":1500}]},{""timeline"":[{""stimulus"":""images/semantic_sequence/physical_activity_semantic/physical_activity_semantic_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":1500}]},{""timeline"":[{""stimulus"":""images/causal_sequence/saving_a_cat_causal/saving_a_cat_causal_0.png"",""stimulus_width"":600,""stimulus_height"":600,""choices"":[],""prompt"":"""",""trial_duration"":1500}]}]","ZZ1ZED8462CA34E3992DBC1F4207A32D4-2024-09-22-10-56-25","","","e715e7b6e073e31fa42da6dc825d99d22bbf4887b5ff9e428b19d91304c4224c","","","",""
