"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","task","block_type","img_idx","comparison_type","left_path","right_path"
"true","false","[]","[]","[]","preload","0","1","0.0-0.0","","","","","","","","","",""
"","","","","","instructions","1","6024","0.0-1.0","[{""page_index"":0,""viewing_time"":2340},{""page_index"":1,""viewing_time"":3682}]","6022","","","","","","","",""
"true","","","","","fullscreen","2","9184","0.0-2.0","","2159","","","","","","","",""
"","","","","","instructions","3","28227","0.0-3.0","[{""page_index"":0,""viewing_time"":19043}]","19043","","","","","","","",""
"","","","","","html-keyboard-response","4","30230","0.0-4.0","","null","<div class=""transition-square bg-story""><div>STORY</div></div>","null","","","","","",""
"","","","","","html-keyboard-response","5","33231","0.0-5.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_3_1.png"" class=""exp-image""></div>","null","","","","","",""
"","","","","","html-button-response","6","35412","0.0-6.0","","2180","<div class=""stimulus-container""><img src=""images_story_vs_info/story_3_1.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is this image part of a Story or Facts?</p></div></div>","0","observation","story","1","","",""
"","","","","","html-keyboard-response","7","38413","0.0-7.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_3_2.png"" class=""exp-image""></div>","null","","","","","",""
"","","","","","html-button-response","8","40728","0.0-8.0","","2314","<div class=""stimulus-container""><img src=""images_story_vs_info/story_3_2.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is there a person in this image?</p></div></div>","1","observation","story","2","","",""
"","","","","","html-keyboard-response","9","43730","0.0-9.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_3_3.png"" class=""exp-image""></div>","null","","","","","",""
"","","","","","html-button-response","10","47000","0.0-10.0","","3270","<div class=""stimulus-container""><img src=""images_story_vs_info/story_3_3.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is this image part of a Story or Facts?</p></div></div>","0","observation","story","3","","",""
"","","","","","html-keyboard-response","11","50001","0.0-11.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_3_4.png"" class=""exp-image""></div>","null","","","","","",""
"","","","","","html-button-response","12","52423","0.0-12.0","","2422","<div class=""stimulus-container""><img src=""images_story_vs_info/story_3_4.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is this image part of a Story or Facts?</p></div></div>","0","observation","story","4","","",""
"","","","","","html-keyboard-response","13","55425","0.0-13.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_3_5.png"" class=""exp-image""></div>","null","","","","","",""
"","","","","","html-button-response","14","56634","0.0-14.0","","1208","<div class=""stimulus-container""><img src=""images_story_vs_info/story_3_5.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is this image part of a Story or Facts?</p></div></div>","0","observation","story","5","","",""
"","","","","","html-keyboard-response","15","58635","0.0-15.0","","null","<div class=""transition-square bg-info""><div>FACTS</div></div>","null","","","","","",""
"","","","","","html-keyboard-response","16","61636","0.0-16.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_1_1.png"" class=""exp-image""></div>","null","","","","","",""
"","","","","","html-button-response","17","62101","0.0-17.0","","464","<div class=""stimulus-container""><img src=""images_story_vs_info/info_1_1.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is this image part of a Story or Facts?</p></div></div>","1","observation","info","1","","",""
"","","","","","html-keyboard-response","18","65102","0.0-18.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_1_2.png"" class=""exp-image""></div>","null","","","","","",""
"","","","","","html-button-response","19","66020","0.0-19.0","","918","<div class=""stimulus-container""><img src=""images_story_vs_info/info_1_2.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is this image part of a Story or Facts?</p></div></div>","1","observation","info","2","","",""
"","","","","","html-keyboard-response","20","69021","0.0-20.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_1_3.png"" class=""exp-image""></div>","null","","","","","",""
"","","","","","html-button-response","21","69843","0.0-21.0","","821","<div class=""stimulus-container""><img src=""images_story_vs_info/info_1_3.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is this image part of a Story or Facts?</p></div></div>","1","observation","info","3","","",""
"","","","","","html-keyboard-response","22","72843","0.0-22.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_1_4.png"" class=""exp-image""></div>","null","","","","","",""
"","","","","","html-button-response","23","74666","0.0-23.0","","1822","<div class=""stimulus-container""><img src=""images_story_vs_info/info_1_4.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is there a person in this image?</p></div></div>","1","observation","info","4","","",""
"","","","","","html-keyboard-response","24","77667","0.0-24.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_1_5.png"" class=""exp-image""></div>","null","","","","","",""
"","","","","","html-button-response","25","79879","0.0-25.0","","2211","<div class=""stimulus-container""><img src=""images_story_vs_info/info_1_5.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is this image part of a Story or Facts?</p></div></div>","1","observation","info","5","","",""
"","","","","","html-keyboard-response","26","81879","0.0-26.0","","null","<div class=""transition-square bg-story""><div>STORY</div></div>","null","","","","","",""
"","","","","","html-keyboard-response","27","84880","0.0-27.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_1.png"" class=""exp-image""></div>","null","","","","","",""
"","","","","","html-button-response","28","85350","0.0-28.0","","469","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_1.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is this image part of a Story or Facts?</p></div></div>","0","observation","story","1","","",""
"","","","","","html-keyboard-response","29","88351","0.0-29.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_2.png"" class=""exp-image""></div>","null","","","","","",""
"","","","","","html-button-response","30","90027","0.0-30.0","","1675","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_2.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is there a person in this image?</p></div></div>","1","observation","story","2","","",""
