"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","task","folder","sequence_type","img_idx","value","comparison","left_path","right_path","is_attention_check","expected_correct","is_correct"
"true","false","[]","[]","[]","preload","0","1910","0.0-0.0","","","","","","","","","","","","","","",""
"","","","","","instructions","1","4015","0.0-1.0","[{""page_index"":0,""viewing_time"":2105}]","2105","","","","","","","","","","","","",""
"","","","","","instructions","2","6663","0.0-2.0","[{""page_index"":0,""viewing_time"":2647}]","2647","","","","","","","","","","","","",""
"true","","","","","fullscreen","3","8930","0.0-3.0","","1263","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","10933","0.0-4.0","","null","<div class=""transition-square bg-story""><div>Story</div></div>","null","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","15939","0.0-5.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_3_1.png"" class=""exp-image""></div>","null","","","","","","","","","","",""
"","","","","","html-button-response","6","18947","0.0-6.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_3_1.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is there a person in the description or image?</p></div></div>","null","observation","story_3","Story","1","","","","","","",""
"","","","","","html-keyboard-response","7","23959","0.0-7.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_3_2.png"" class=""exp-image""></div>","null","","","","","","","","","","",""
"","","","","","html-button-response","8","25444","0.0-8.0","","1485","<div class=""stimulus-container""><img src=""images_story_vs_info/story_3_2.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is there a person in the description or image?</p></div></div>","1","observation","story_3","Story","2","","","","","","",""
"","","","","","html-keyboard-response","9","30459","0.0-9.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_3_3.png"" class=""exp-image""></div>","null","","","","","","","","","","",""
