"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","task","block_type","img_idx"
"true","false","[]","[]","[]","preload","0","1","0.0-0.0","","","","","","",""
"","","","","","instructions","1","2803","0.0-1.0","[{""page_index"":0,""viewing_time"":1119},{""page_index"":1,""viewing_time"":1683}]","2802","","","","",""
"true","","","","","fullscreen","2","5036","0.0-2.0","","1231","","","","",""
"","","","","","instructions","3","6486","0.0-3.0","[{""page_index"":0,""viewing_time"":1449}]","1449","","","","",""
"","","","","","html-keyboard-response","4","8489","0.0-4.0","","null","<div class=""transition-square bg-story""><div>STORY</div></div>","null","","",""
"","","","","","html-keyboard-response","5","11491","0.0-5.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_1.png"" class=""exp-image""></div>","null","","",""
"","","","","","html-button-response","6","13853","0.0-6.0","","2360","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_1.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is this image part of a Story or Facts?</p></div></div>","0","observation","story","1"
"","","","","","html-keyboard-response","7","16855","0.0-7.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_2.png"" class=""exp-image""></div>","null","","",""
"","","","","","html-button-response","8","18569","0.0-8.0","","1713","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_2.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is this image part of a Story or Facts?</p></div></div>","0","observation","story","2"
"","","","","","html-keyboard-response","9","21572","0.0-9.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_3.png"" class=""exp-image""></div>","null","","",""
"","","","","","html-button-response","10","23668","0.0-10.0","","2095","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_3.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is this image part of a Story or Facts?</p></div></div>","0","observation","story","3"
"","","","","","html-keyboard-response","11","26670","0.0-11.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_4.png"" class=""exp-image""></div>","null","","",""
"","","","","","html-button-response","12","27752","0.0-12.0","","1081","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_4.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is this image part of a Story or Facts?</p></div></div>","0","observation","story","4"
"","","","","","html-keyboard-response","13","30753","0.0-13.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_5.png"" class=""exp-image""></div>","null","","",""
"","","","","","html-button-response","14","31685","0.0-14.0","","931","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_5.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is this image part of a Story or Facts?</p></div></div>","0","observation","story","5"
"","","","","","html-keyboard-response","15","33686","0.0-15.0","","null","<div class=""transition-square bg-info""><div>FACTS</div></div>","null","","",""
"","","","","","html-keyboard-response","16","36688","0.0-16.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_1_1.png"" class=""exp-image""></div>","null","","",""
"","","","","","html-button-response","17","40301","0.0-17.0","","3612","<div class=""stimulus-container""><img src=""images_story_vs_info/info_1_1.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is there a person in this image?</p></div></div>","1","observation","info","1"
"","","","","","html-keyboard-response","18","43304","0.0-18.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_1_2.png"" class=""exp-image""></div>","null","","",""
"","","","","","html-button-response","19","45835","0.0-19.0","","2530","<div class=""stimulus-container""><img src=""images_story_vs_info/info_1_2.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is there a person in this image?</p></div></div>","1","observation","info","2"
"","","","","","html-keyboard-response","20","48836","0.0-20.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_1_3.png"" class=""exp-image""></div>","null","","",""
"","","","","","html-button-response","21","53183","0.0-21.0","","4346","<div class=""stimulus-container""><img src=""images_story_vs_info/info_1_3.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is this image part of a Story or Facts?</p></div></div>","1","observation","info","3"
"","","","","","html-keyboard-response","22","56185","0.0-22.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_1_4.png"" class=""exp-image""></div>","null","","",""
"","","","","","html-button-response","23","57584","0.0-23.0","","1398","<div class=""stimulus-container""><img src=""images_story_vs_info/info_1_4.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is this image part of a Story or Facts?</p></div></div>","1","observation","info","4"
"","","","","","html-keyboard-response","24","60587","0.0-24.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_1_5.png"" class=""exp-image""></div>","null","","",""
"","","","","","html-button-response","25","62801","0.0-25.0","","2213","<div class=""stimulus-container""><img src=""images_story_vs_info/info_1_5.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is there a person in this image?</p></div></div>","1","observation","info","5"
"","","","","","html-keyboard-response","26","64803","0.0-26.0","","null","<div class=""transition-square bg-info""><div>FACTS</div></div>","null","","",""
"","","","","","html-keyboard-response","27","67804","0.0-27.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_1.png"" class=""exp-image""></div>","null","","",""
"","","","","","html-button-response","28","69284","0.0-28.0","","1478","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_1.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is this image part of a Story or Facts?</p></div></div>","1","observation","info","1"
"","","","","","html-keyboard-response","29","72286","0.0-29.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_2.png"" class=""exp-image""></div>","null","","",""
"","","","","","html-button-response","30","73166","0.0-30.0","","879","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_2.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is this image part of a Story or Facts?</p></div></div>","1","observation","info","2"
"","","","","","html-keyboard-response","31","76168","0.0-31.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_3.png"" class=""exp-image""></div>","null","","",""
"","","","","","html-button-response","32","80033","0.0-32.0","","3864","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_3.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is this image part of a Story or Facts?</p></div></div>","1","observation","info","3"
"","","","","","html-keyboard-response","33","83035","0.0-33.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_4.png"" class=""exp-image""></div>","null","","",""
"","","","","","html-button-response","34","84866","0.0-34.0","","1829","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_4.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is this image part of a Story or Facts?</p></div></div>","1","observation","info","4"
"","","","","","html-keyboard-response","35","87868","0.0-35.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_5.png"" class=""exp-image""></div>","null","","",""
"","","","","","html-button-response","36","90415","0.0-36.0","","2547","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_5.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is this image part of a Story or Facts?</p></div></div>","1","observation","info","5"
"","","","","","html-keyboard-response","37","92418","0.0-37.0","","null","<div class=""transition-square bg-story""><div>STORY</div></div>","null","","",""
"","","","","","html-keyboard-response","38","95420","0.0-38.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_1.png"" class=""exp-image""></div>","null","","",""
"","","","","","html-button-response","39","97298","0.0-39.0","","1877","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_1.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is this image part of a Story or Facts?</p></div></div>","0","observation","story","1"
"","","","","","html-keyboard-response","40","100299","0.0-40.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_2.png"" class=""exp-image""></div>","null","","",""
"","","","","","html-button-response","41","101999","0.0-41.0","","1699","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_2.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is this image part of a Story or Facts?</p></div></div>","0","observation","story","2"
"","","","","","html-keyboard-response","42","105001","0.0-42.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_3.png"" class=""exp-image""></div>","null","","",""
"","","","","","html-button-response","43","105932","0.0-43.0","","930","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_3.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is there a person in this image?</p></div></div>","0","observation","story","3"
"","","","","","html-keyboard-response","44","108935","0.0-44.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_4.png"" class=""exp-image""></div>","null","","",""
"","","","","","html-button-response","45","110298","0.0-45.0","","1363","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_4.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is there a person in this image?</p></div></div>","1","observation","story","4"
"","","","","","html-keyboard-response","46","113300","0.0-46.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_5.png"" class=""exp-image""></div>","null","","",""
"","","","","","html-button-response","47","119732","0.0-47.0","","6430","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_5.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is this image part of a Story or Facts?</p></div></div>","1","observation","story","5"
"","","","","","instructions","48","122333","0.0-48.0","[{""page_index"":0,""viewing_time"":2600}]","2600","","","","",""
