"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","task","block_type","img_idx","comparison_type","left_path","right_path"
"true","false","[]","[]","[]","preload","0","4","0.0-0.0","","","","","","","","","",""
"","","","","","instructions","1","14697","0.0-1.0","[{""page_index"":0,""viewing_time"":1686},{""page_index"":1,""viewing_time"":13006}]","14692","","","","","","","",""
"true","","","","","fullscreen","2","17322","0.0-2.0","","1622","","","","","","","",""
"","","","","","instructions","3","30065","0.0-3.0","[{""page_index"":0,""viewing_time"":12740}]","12740","","","","","","","",""
"","","","","","html-keyboard-response","4","32070","0.0-4.0","","null","<div class=""transition-square bg-story""><div>STORY</div></div>","null","","","","","",""
"","","","","","html-keyboard-response","5","35072","0.0-5.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_1_1.png"" class=""exp-image""></div>","null","","","","","",""
"","","","","","html-button-response","6","38355","0.0-6.0","","3282","<div class=""stimulus-container""><img src=""images_story_vs_info/story_1_1.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is this image part of a Story or Facts?</p></div></div>","0","observation","story","1","","",""
"","","","","","html-keyboard-response","7","41360","0.0-7.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_1_2.png"" class=""exp-image""></div>","null","","","","","",""
"","","","","","html-button-response","8","53296","0.0-8.0","","11935","<div class=""stimulus-container""><img src=""images_story_vs_info/story_1_2.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is this image part of a Story or Facts?</p></div></div>","0","observation","story","2","","",""
"","","","","","html-keyboard-response","9","56313","0.0-9.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_1_3.png"" class=""exp-image""></div>","null","","","","","",""
"","","","","","html-button-response","10","57746","0.0-10.0","","1433","<div class=""stimulus-container""><img src=""images_story_vs_info/story_1_3.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is this image part of a Story or Facts?</p></div></div>","0","observation","story","3","","",""
"","","","","","html-keyboard-response","11","60841","0.0-11.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_1_4.png"" class=""exp-image""></div>","null","","","","","",""
"","","","","","html-button-response","12","61805","0.0-12.0","","963","<div class=""stimulus-container""><img src=""images_story_vs_info/story_1_4.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is this image part of a Story or Facts?</p></div></div>","0","observation","story","4","","",""
"","","","","","html-keyboard-response","13","64809","0.0-13.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_1_5.png"" class=""exp-image""></div>","null","","","","","",""
"","","","","","html-button-response","14","69120","0.0-14.0","","4310","<div class=""stimulus-container""><img src=""images_story_vs_info/story_1_5.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is there a person in this image?</p></div></div>","1","observation","story","5","","",""
"","","","","","html-keyboard-response","15","71124","0.0-15.0","","null","<div class=""transition-square bg-info""><div>FACTS</div></div>","null","","","","","",""
"","","","","","html-keyboard-response","16","74142","0.0-16.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_1.png"" class=""exp-image""></div>","null","","","","","",""
"","","","","","html-button-response","17","75534","0.0-17.0","","1390","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_1.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is this image part of a Story or Facts?</p></div></div>","1","observation","info","1","","",""
"","","","","","html-keyboard-response","18","78551","0.0-18.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_2.png"" class=""exp-image""></div>","null","","","","","",""
"","","","","","html-button-response","19","79827","0.0-19.0","","1274","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_2.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is this image part of a Story or Facts?</p></div></div>","1","observation","info","2","","",""
"","","","","","html-keyboard-response","20","82843","0.0-20.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_3.png"" class=""exp-image""></div>","null","","","","","",""
"","","","","","html-button-response","21","83647","0.0-21.0","","803","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_3.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is this image part of a Story or Facts?</p></div></div>","1","observation","info","3","","",""
"","","","","","html-keyboard-response","22","86656","0.0-22.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_4.png"" class=""exp-image""></div>","null","","","","","",""
"","","","","","html-button-response","23","87973","0.0-23.0","","1316","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_4.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is this image part of a Story or Facts?</p></div></div>","1","observation","info","4","","",""
"","","","","","html-keyboard-response","24","90982","0.0-24.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_5.png"" class=""exp-image""></div>","null","","","","","",""
"","","","","","html-button-response","25","91487","0.0-25.0","","506","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_5.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is this image part of a Story or Facts?</p></div></div>","1","observation","info","5","","",""
"","","","","","html-keyboard-response","26","93489","0.0-26.0","","null","<div class=""transition-square bg-story""><div>STORY</div></div>","null","","","","","",""
"","","","","","html-keyboard-response","27","96490","0.0-27.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_1.png"" class=""exp-image""></div>","null","","","","","",""
"","","","","","html-button-response","28","99030","0.0-28.0","","2537","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_1.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is there a person in this image?</p></div></div>","1","observation","story","1","","",""
