"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","task","folder","sequence_type","img_idx","value","comparison","left_path","right_path","is_attention_check","expected_correct","is_correct"
"true","false","[]","[]","[]","preload","0","1468","0.0-0.0","","","","","","","","","","","","","","",""
"","","","","","instructions","1","54515","0.0-1.0","[{""page_index"":0,""viewing_time"":53044}]","53045","","","","","","","","","","","","",""
"","","","","","instructions","2","65614","0.0-2.0","[{""page_index"":0,""viewing_time"":11096}]","11097","","","","","","","","","","","","",""
"true","","","","","fullscreen","3","76614","0.0-3.0","","9983","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","78620","0.0-4.0","","null","<div class=""transition-square bg-info""><div>Fact</div></div>","null","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","83623","0.0-5.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_4_1.png"" class=""exp-image""></div>","null","","","","","","","","","","",""
"","","","","","html-button-response","6","86617","0.0-6.0","","2991","<div class=""stimulus-container""><img src=""images_story_vs_info/info_4_1.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is there a person in the description or image?</p></div></div>","1","observation","info_4","Fact","1","","","","","","",""
"","","","","","html-keyboard-response","7","91633","0.0-7.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_4_2.png"" class=""exp-image""></div>","null","","","","","","","","","","",""
"","","","","","html-button-response","8","93117","0.0-8.0","","1481","<div class=""stimulus-container""><img src=""images_story_vs_info/info_4_2.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is there a person in the description or image?</p></div></div>","1","observation","info_4","Fact","2","","","","","","",""
"","","","","","html-keyboard-response","9","98133","0.0-9.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_4_3.png"" class=""exp-image""></div>","null","","","","","","","","","","",""
"","","","","","html-button-response","10","99544","0.0-10.0","","1408","<div class=""stimulus-container""><img src=""images_story_vs_info/info_4_3.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is there a person in the description or image?</p></div></div>","1","observation","info_4","Fact","3","","","","","","",""
"","","","","","html-keyboard-response","11","104549","0.0-11.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_4_4.png"" class=""exp-image""></div>","null","","","","","","","","","","",""
"","","","","","html-button-response","12","105777","0.0-12.0","","1226","<div class=""stimulus-container""><img src=""images_story_vs_info/info_4_4.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is there a person in the description or image?</p></div></div>","1","observation","info_4","Fact","4","","","","","","",""
"","","","","","html-keyboard-response","13","110795","0.0-13.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_4_5.png"" class=""exp-image""></div>","null","","","","","","","","","","",""
"","","","","","html-button-response","14","112827","0.0-14.0","","2029","<div class=""stimulus-container""><img src=""images_story_vs_info/info_4_5.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is there a person in the description or image?</p></div></div>","1","observation","info_4","Fact","5","","","","","","",""
"","","","","","html-keyboard-response","15","114838","0.0-15.0","","null","<div class=""transition-square bg-info""><div>Fact</div></div>","null","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","119845","0.0-16.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_2_1.png"" class=""exp-image""></div>","null","","","","","","","","","","",""
"","","","","","html-button-response","17","120792","0.0-17.0","","944","<div class=""stimulus-container""><img src=""images_story_vs_info/info_2_1.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is there a person in the description or image?</p></div></div>","1","observation","info_2","Fact","1","","","","","","",""
"","","","","","html-keyboard-response","18","125803","0.0-18.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_2_2.png"" class=""exp-image""></div>","null","","","","","","","","","","",""
"","","","","","html-button-response","19","126617","0.0-19.0","","812","<div class=""stimulus-container""><img src=""images_story_vs_info/info_2_2.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is there a person in the description or image?</p></div></div>","1","observation","info_2","Fact","2","","","","","","",""
"","","","","","html-keyboard-response","20","131627","0.0-20.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_2_3.png"" class=""exp-image""></div>","null","","","","","","","","","","",""
