"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","task","folder","sequence_type","image_index","reward_type","valuable_image_index","target_X","dist_left","dist_right","chosen_image_index","chosen_dist","selected_after_X","correct_choice"
"true","false","[]","[]","[]","preload","0","7407","0.0-0.0","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","12763","0.0-1.0","[{""page_index"":0,""viewing_time"":5355}]","5355","","","","","","","","","","","","","","",""
"","","","","","instructions","2","16188","0.0-2.0","[{""page_index"":0,""viewing_time"":3425}]","3425","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","3","23194","0.0-3.0","","6003","","","","","","","","","","","","","","",""
"","","","","","instructions","4","30120","0.0-4.0","[{""page_index"":0,""viewing_time"":6925}]","6925","","","","","","","","","","","","","","",""
"","","","","","instructions","5","35541","0.0-5.0","[{""page_index"":0,""viewing_time"":5421}]","5421","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","38544","0.0-6.0","","null","<div class=""stimulus-container""><img src=""images/instructions/movie_1.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","7","39874","0.0-7.0","","1328","<div class=""stimulus-container""><img src=""images/instructions/movie_1.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","42876","0.0-8.0","","null","<div class=""stimulus-container""><img src=""images/instructions/movie_2.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","9","43685","0.0-9.0","","808","<div class=""stimulus-container""><img src=""images/instructions/movie_2.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","1","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","46687","0.0-10.0","","null","<div class=""stimulus-container""><img src=""images/instructions/movie_3.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","11","47315","0.0-11.0","","627","<div class=""stimulus-container""><img src=""images/instructions/movie_3.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","","","","","","","","","","","","",""
"","","","","","instructions","12","49585","0.0-12.0","[{""page_index"":0,""viewing_time"":2269}]","2269","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","51587","0.0-13.0","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","55589","0.0-14.0","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/visiting_cities_semantic/visiting_cities_semantic_1.png"" class=""exp-image""></div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","15","56907","0.0-15.0","","1316","<div class=""stimulus-container""><img src=""images/semantic_sequence/visiting_cities_semantic/visiting_cities_semantic_1.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","visiting_cities_semantic","semantic_sequence","1","","","","","","","","",""
"","","","","","html-keyboard-response","16","60909","0.0-16.0","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/visiting_cities_semantic/visiting_cities_semantic_2.png"" class=""exp-image""></div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","17","62249","0.0-17.0","","1339","<div class=""stimulus-container""><img src=""images/semantic_sequence/visiting_cities_semantic/visiting_cities_semantic_2.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","1","observation","visiting_cities_semantic","semantic_sequence","2","","","","","","","","",""
"","","","","","html-keyboard-response","18","66251","0.0-18.0","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/visiting_cities_semantic/visiting_cities_semantic_3.png"" class=""exp-image""></div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","19","66757","0.0-19.0","","505","<div class=""stimulus-container""><img src=""images/semantic_sequence/visiting_cities_semantic/visiting_cities_semantic_3.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","1","observation","visiting_cities_semantic","semantic_sequence","3","","","","","","","","",""
"","","","","","html-keyboard-response","20","70760","0.0-20.0","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/visiting_cities_semantic/visiting_cities_semantic_4.png"" class=""exp-image""></div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","21","71412","0.0-21.0","","652","<div class=""stimulus-container""><img src=""images/semantic_sequence/visiting_cities_semantic/visiting_cities_semantic_4.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","1","observation","visiting_cities_semantic","semantic_sequence","4","","","","","","","","",""
"","","","","","html-keyboard-response","22","75415","0.0-22.0","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/visiting_cities_semantic/visiting_cities_semantic_5.png"" class=""exp-image""></div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","23","76369","0.0-23.0","","953","<div class=""stimulus-container""><img src=""images/semantic_sequence/visiting_cities_semantic/visiting_cities_semantic_5.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","1","observation","visiting_cities_semantic","semantic_sequence","5","","","","","","","","",""
"","","","","","html-keyboard-response","24","80372","0.0-24.0","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/visiting_cities_semantic/visiting_cities_semantic_6.png"" class=""exp-image""></div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","25","81155","0.0-25.0","","782","<div class=""stimulus-container""><img src=""images/semantic_sequence/visiting_cities_semantic/visiting_cities_semantic_6.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","1","observation","visiting_cities_semantic","semantic_sequence","6","","","","","","","","",""
"","","","","","html-keyboard-response","26","85157","0.0-26.0","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/visiting_cities_semantic/visiting_cities_semantic_7.png"" class=""exp-image""></div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","27","85817","0.0-27.0","","659","<div class=""stimulus-container""><img src=""images/semantic_sequence/visiting_cities_semantic/visiting_cities_semantic_7.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","visiting_cities_semantic","semantic_sequence","7","","","","","","","","",""
"","","","","","html-keyboard-response","28","89818","0.0-28.0","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/visiting_cities_semantic/visiting_cities_semantic_8.png"" class=""exp-image""></div>","null","","","","","","","","","","","","",""
