"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","task","block_type","img_idx","comparison_type","left_path","right_path"
"true","false","[]","[]","[]","preload","0","2","0.0-0.0","","","","","","","","","",""
"","","","","","instructions","1","161511","0.0-1.0","[{""page_index"":0,""viewing_time"":39348},{""page_index"":1,""viewing_time"":122162}]","161510","","","","","","","",""
"true","","","","","fullscreen","2","209599","0.0-2.0","","47077","","","","","","","",""
"","","","","","instructions","3","258845","0.0-3.0","[{""page_index"":0,""viewing_time"":49245}]","49245","","","","","","","",""
"","","","","","html-keyboard-response","4","260849","0.0-4.0","","null","<div class=""transition-square bg-info""><div>FACTS</div></div>","null","","","","","",""
"","","","","","html-keyboard-response","5","263852","0.0-5.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_1.png"" class=""exp-image""></div>","null","","","","","",""
"","","","","","html-button-response","6","270653","0.0-6.0","","6801","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_1.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is this image part of a Story or Facts?</p></div></div>","1","observation","info","1","","",""
"","","","","","html-keyboard-response","7","273667","0.0-7.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_2.png"" class=""exp-image""></div>","null","","","","","",""
"","","","","","html-button-response","8","274414","0.0-8.0","","746","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_2.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is this image part of a Story or Facts?</p></div></div>","1","observation","info","2","","",""
"","","","","","html-keyboard-response","9","277593","0.0-9.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_3.png"" class=""exp-image""></div>","null","","","","","",""
"","","","","","html-button-response","10","277974","0.0-10.0","","381","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_3.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is this image part of a Story or Facts?</p></div></div>","1","observation","info","3","","",""
"","","","","","html-keyboard-response","11","280977","0.0-11.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_4.png"" class=""exp-image""></div>","null","","","","","",""
"","","","","","html-button-response","12","281485","0.0-12.0","","508","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_4.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is this image part of a Story or Facts?</p></div></div>","1","observation","info","4","","",""
"","","","","","html-keyboard-response","13","284495","0.0-13.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_5.png"" class=""exp-image""></div>","null","","","","","",""
"","","","","","html-button-response","14","284862","0.0-14.0","","366","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_5.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is this image part of a Story or Facts?</p></div></div>","1","observation","info","5","","",""
"","","","","","html-keyboard-response","15","287105","0.0-15.0","","null","<div class=""transition-square bg-story""><div>STORY</div></div>","null","","","","","",""
"","","","","","html-keyboard-response","16","290115","0.0-16.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_1.png"" class=""exp-image""></div>","null","","","","","",""
"","","","","","html-button-response","17","290717","0.0-17.0","","603","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_1.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is this image part of a Story or Facts?</p></div></div>","0","observation","story","1","","",""
"","","","","","html-keyboard-response","18","293733","0.0-18.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_2.png"" class=""exp-image""></div>","null","","","","","",""
"","","","","","html-button-response","19","294557","0.0-19.0","","824","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_2.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is this image part of a Story or Facts?</p></div></div>","0","observation","story","2","","",""
"","","","","","html-keyboard-response","20","297568","0.0-20.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_3.png"" class=""exp-image""></div>","null","","","","","",""
"","","","","","html-button-response","21","298910","0.0-21.0","","1342","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_3.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is this image part of a Story or Facts?</p></div></div>","0","observation","story","3","","",""
"","","","","","html-keyboard-response","22","301915","0.0-22.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_4.png"" class=""exp-image""></div>","null","","","","","",""
"","","","","","html-button-response","23","303077","0.0-23.0","","1161","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_4.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is there a person in this image?</p></div></div>","0","observation","story","4","","",""
"","","","","","html-keyboard-response","24","306085","0.0-24.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_5.png"" class=""exp-image""></div>","null","","","","","",""
"","","","","","html-button-response","25","311766","0.0-25.0","","5680","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_5.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is this image part of a Story or Facts?</p></div></div>","0","observation","story","5","","",""
"","","","","","html-keyboard-response","26","313777","0.0-26.0","","null","<div class=""transition-square bg-info""><div>FACTS</div></div>","null","","","","","",""
"","","","","","html-keyboard-response","27","316784","0.0-27.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_2_1.png"" class=""exp-image""></div>","null","","","","","",""
"","","","","","html-button-response","28","320286","0.0-28.0","","3502","<div class=""stimulus-container""><img src=""images_story_vs_info/info_2_1.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is this image part of a Story or Facts?</p></div></div>","1","observation","info","1","","",""
"","","","","","html-keyboard-response","29","323299","0.0-29.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_2_2.png"" class=""exp-image""></div>","null","","","","","",""
"","","","","","html-button-response","30","323782","0.0-30.0","","483","<div class=""stimulus-container""><img src=""images_story_vs_info/info_2_2.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is this image part of a Story or Facts?</p></div></div>","1","observation","info","2","","",""
"","","","","","html-keyboard-response","31","326786","0.0-31.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_2_3.png"" class=""exp-image""></div>","null","","","","","",""
"","","","","","html-button-response","32","327294","0.0-32.0","","507","<div class=""stimulus-container""><img src=""images_story_vs_info/info_2_3.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is this image part of a Story or Facts?</p></div></div>","1","observation","info","3","","",""
"","","","","","html-keyboard-response","33","330302","0.0-33.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_2_4.png"" class=""exp-image""></div>","null","","","","","",""
"","","","","","html-button-response","34","331173","0.0-34.0","","871","<div class=""stimulus-container""><img src=""images_story_vs_info/info_2_4.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is this image part of a Story or Facts?</p></div></div>","1","observation","info","4","","",""
"","","","","","html-keyboard-response","35","334180","0.0-35.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_2_5.png"" class=""exp-image""></div>","null","","","","","",""
"","","","","","html-button-response","36","334589","0.0-36.0","","408","<div class=""stimulus-container""><img src=""images_story_vs_info/info_2_5.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is this image part of a Story or Facts?</p></div></div>","1","observation","info","5","","",""
"","","","","","html-keyboard-response","37","336601","0.0-37.0","","null","<div class=""transition-square bg-story""><div>STORY</div></div>","null","","","","","",""
"","","","","","html-keyboard-response","38","339602","0.0-38.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_1_1.png"" class=""exp-image""></div>","null","","","","","",""
"","","","","","html-button-response","39","346125","0.0-39.0","","6523","<div class=""stimulus-container""><img src=""images_story_vs_info/story_1_1.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is this image part of a Story or Facts?</p></div></div>","0","observation","story","1","","",""
"","","","","","html-keyboard-response","40","349129","0.0-40.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_1_2.png"" class=""exp-image""></div>","null","","","","","",""
"","","","","","html-button-response","41","354077","0.0-41.0","","4949","<div class=""stimulus-container""><img src=""images_story_vs_info/story_1_2.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is there a person in this image?</p></div></div>","1","observation","story","2","","",""
"","","","","","html-keyboard-response","42","357081","0.0-42.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_1_3.png"" class=""exp-image""></div>","null","","","","","",""
"","","","","","html-button-response","43","358942","0.0-43.0","","1861","<div class=""stimulus-container""><img src=""images_story_vs_info/story_1_3.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is there a person in this image?</p></div></div>","1","observation","story","3","","",""
"","","","","","html-keyboard-response","44","362053","0.0-44.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_1_4.png"" class=""exp-image""></div>","null","","","","","",""
"","","","","","html-button-response","45","363374","0.0-45.0","","1320","<div class=""stimulus-container""><img src=""images_story_vs_info/story_1_4.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is this image part of a Story or Facts?</p></div></div>","0","observation","story","4","","",""
"","","","","","html-keyboard-response","46","366374","0.0-46.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_1_5.png"" class=""exp-image""></div>","null","","","","","",""
"","","","","","html-button-response","47","367678","0.0-47.0","","1303","<div class=""stimulus-container""><img src=""images_story_vs_info/story_1_5.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is this image part of a Story or Facts?</p></div></div>","0","observation","story","5","","",""
"","","","","","instructions","48","381822","0.0-48.0","[{""page_index"":0,""viewing_time"":14143}]","14143","","","","","","","",""
"","","","","","html-button-response","49","383486","0.0-49.0","","1663","<div class=""stimulus-container""><p style=""font-family:Arial; font-size:20px;"">The sequence is ending...</p><img src=""images_story_vs_info/story_4_5.png"" class=""exp-image""></div>","0","","","","","",""
"","","","","","html-button-response","50","387861","0.0-50.0","","4376","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_6_a.png"" class=""exp-image""><div class=""value-tag val-high"">Value: $100</div></div>","0","","","","","",""
"","","","","","html-button-response","51","388670","0.0-51.0","","809","<div class=""stimulus-container""><p style=""font-family:Arial; font-size:20px;"">The sequence is ending...</p><img src=""images_story_vs_info/story_1_5.png"" class=""exp-image""></div>","0","","","","","",""
"","","","","","html-button-response","52","393045","0.0-52.0","","4375","<div class=""stimulus-container""><img src=""images_story_vs_info/story_1_6_b.png"" class=""exp-image""><div class=""value-tag val-low"">Value: $0</div></div>","0","","","","","",""
"","","","","","html-button-response","53","394045","0.0-53.0","","999","<div class=""stimulus-container""><p style=""font-family:Arial; font-size:20px;"">The sequence is ending...</p><img src=""images_story_vs_info/info_2_5.png"" class=""exp-image""></div>","0","","","","","",""
"","","","","","html-button-response","54","399254","0.0-54.0","","5209","<div class=""stimulus-container""><img src=""images_story_vs_info/info_2_6_a.png"" class=""exp-image""><div class=""value-tag val-high"">Value: $100</div></div>","0","","","","","",""
"","","","","","html-button-response","55","400646","0.0-55.0","","1391","<div class=""stimulus-container""><p style=""font-family:Arial; font-size:20px;"">The sequence is ending...</p><img src=""images_story_vs_info/info_3_5.png"" class=""exp-image""></div>","0","","","","","",""
"","","","","","html-button-response","56","405118","0.0-56.0","","4471","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_6_b.png"" class=""exp-image""><div class=""value-tag val-low"">Value: $0</div></div>","0","","","","","",""
"","","","","","instructions","57","407461","0.0-57.0","[{""page_index"":0,""viewing_time"":2343}]","2343","","","","","","","",""
