"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","task","folder","sequence_type","image_index","reward_type","valuable_image_index","correct_choice","target_X","dist_left","dist_right","chosen_image_index","chosen_dist","selected_after_X"
"true","false","[]","[]","[]","preload","0","7384","0.0-0.0","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","19871","0.0-1.0","[{""page_index"":0,""viewing_time"":12486}]","12487","","","","","","","","","","","","","","",""
"","","","","","instructions","2","53991","0.0-2.0","[{""page_index"":0,""viewing_time"":34119}]","34120","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","3","334422","0.0-3.0","","279428","","","","","","","","","","","","","","",""
"","","","","","instructions","4","336296","0.0-4.0","[{""page_index"":0,""viewing_time"":1873}]","1874","","","","","","","","","","","","","","",""
"","","","","","instructions","5","337695","0.0-5.0","[{""page_index"":0,""viewing_time"":1398}]","1398","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","340698","0.0-6.0","","null","<div class=""stimulus-container""><img src=""images/instructions/movie_1.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","7","343207","0.0-7.0","","2507","<div class=""stimulus-container""><img src=""images/instructions/movie_1.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","1","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","346209","0.0-8.0","","null","<div class=""stimulus-container""><img src=""images/instructions/movie_2.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","9","348610","0.0-9.0","","2399","<div class=""stimulus-container""><img src=""images/instructions/movie_2.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","1","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","351611","0.0-10.0","","null","<div class=""stimulus-container""><img src=""images/instructions/movie_3.png"" class=""exp-image""><div class=""question-area""></div></div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","11","354906","0.0-11.0","","3294","<div class=""stimulus-container""><img src=""images/instructions/movie_3.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","","","","","","","","","","","","",""
"","","","","","instructions","12","357183","0.0-12.0","[{""page_index"":0,""viewing_time"":2276}]","2276","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","359186","0.0-13.0","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","363188","0.0-14.0","","null","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_1.png"" class=""exp-image""></div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","15","376926","0.0-15.0","","13737","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_1.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","museum_causal","causal_sequence","1","","","","","","","","",""
"","","","","","html-keyboard-response","16","380928","0.0-16.0","","null","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_2.png"" class=""exp-image""></div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","17","388853","0.0-17.0","","7923","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_2.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","1","observation","museum_causal","causal_sequence","2","","","","","","","","",""
"","","","","","html-keyboard-response","18","392855","0.0-18.0","","null","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_3.png"" class=""exp-image""></div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","19","428076","0.0-19.0","","35220","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_3.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","1","observation","museum_causal","causal_sequence","3","","","","","","","","",""
"","","","","","html-keyboard-response","20","432078","0.0-20.0","","null","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_4.png"" class=""exp-image""></div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","21","459565","0.0-21.0","","27485","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_4.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","1","observation","museum_causal","causal_sequence","4","","","","","","","","",""
"","","","","","html-keyboard-response","22","463566","0.0-22.0","","null","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_5.png"" class=""exp-image""></div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","23","468391","0.0-23.0","","4824","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_5.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","museum_causal","causal_sequence","5","","","","","","","","",""
"","","","","","html-keyboard-response","24","472394","0.0-24.0","","null","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_6.png"" class=""exp-image""></div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","25","531399","0.0-25.0","","59004","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_6.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","museum_causal","causal_sequence","6","","","","","","","","",""
"","","","","","html-keyboard-response","26","535401","0.0-26.0","","null","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_7.png"" class=""exp-image""></div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","27","653586","0.0-27.0","","118184","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_7.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","1","observation","museum_causal","causal_sequence","7","","","","","","","","",""
"","","","","","html-keyboard-response","28","657588","0.0-28.0","","null","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_8.png"" class=""exp-image""></div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","29","685407","0.0-29.0","","27818","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_8.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","museum_causal","causal_sequence","8","","","","","","","","",""
"","","","","","html-keyboard-response","30","689410","0.0-30.0","","null","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_9.png"" class=""exp-image""></div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","31","714574","0.0-31.0","","25163","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_9.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","1","observation","museum_causal","causal_sequence","9","","","","","","","","",""
"","","","","","html-keyboard-response","32","718576","0.0-32.0","","null","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_ten.png"" class=""exp-image""></div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","33","730515","0.0-33.0","","11938","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_ten.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","museum_causal","causal_sequence","ten","","","","","","","","",""
"","","","","","html-keyboard-response","34","732517","0.0-34.0","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","35","736519","0.0-35.0","","null","<div class=""stimulus-container""><img src=""images/causal_sequence/dog_causal/dog_causal_1.png"" class=""exp-image""></div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","36","739752","0.0-36.0","","3232","<div class=""stimulus-container""><img src=""images/causal_sequence/dog_causal/dog_causal_1.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","dog_causal","causal_sequence","1","","","","","","","","",""
"","","","","","html-keyboard-response","37","743753","0.0-37.0","","null","<div class=""stimulus-container""><img src=""images/causal_sequence/dog_causal/dog_causal_2.png"" class=""exp-image""></div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","38","748166","0.0-38.0","","4412","<div class=""stimulus-container""><img src=""images/causal_sequence/dog_causal/dog_causal_2.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","dog_causal","causal_sequence","2","","","","","","","","",""
"","","","","","html-keyboard-response","39","752168","0.0-39.0","","null","<div class=""stimulus-container""><img src=""images/causal_sequence/dog_causal/dog_causal_3.png"" class=""exp-image""></div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","40","753964","0.0-40.0","","1794","<div class=""stimulus-container""><img src=""images/causal_sequence/dog_causal/dog_causal_3.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","dog_causal","causal_sequence","3","","","","","","","","",""
"","","","","","html-keyboard-response","41","757966","0.0-41.0","","null","<div class=""stimulus-container""><img src=""images/causal_sequence/dog_causal/dog_causal_4.png"" class=""exp-image""></div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","42","760000","0.0-42.0","","2033","<div class=""stimulus-container""><img src=""images/causal_sequence/dog_causal/dog_causal_4.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","dog_causal","causal_sequence","4","","","","","","","","",""
"","","","","","html-keyboard-response","43","764001","0.0-43.0","","null","<div class=""stimulus-container""><img src=""images/causal_sequence/dog_causal/dog_causal_5.png"" class=""exp-image""></div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","44","767586","0.0-44.0","","3584","<div class=""stimulus-container""><img src=""images/causal_sequence/dog_causal/dog_causal_5.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","dog_causal","causal_sequence","5","","","","","","","","",""
"","","","","","html-keyboard-response","45","771589","0.0-45.0","","null","<div class=""stimulus-container""><img src=""images/causal_sequence/dog_causal/dog_causal_6.png"" class=""exp-image""></div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","46","783268","0.0-46.0","","11678","<div class=""stimulus-container""><img src=""images/causal_sequence/dog_causal/dog_causal_6.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","dog_causal","causal_sequence","6","","","","","","","","",""
"","","","","","html-keyboard-response","47","787270","0.0-47.0","","null","<div class=""stimulus-container""><img src=""images/causal_sequence/dog_causal/dog_causal_7.png"" class=""exp-image""></div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","48","789492","0.0-48.0","","2221","<div class=""stimulus-container""><img src=""images/causal_sequence/dog_causal/dog_causal_7.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","dog_causal","causal_sequence","7","","","","","","","","",""
"","","","","","html-keyboard-response","49","793495","0.0-49.0","","null","<div class=""stimulus-container""><img src=""images/causal_sequence/dog_causal/dog_causal_8.png"" class=""exp-image""></div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","50","801580","0.0-50.0","","8085","<div class=""stimulus-container""><img src=""images/causal_sequence/dog_causal/dog_causal_8.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","dog_causal","causal_sequence","8","","","","","","","","",""
"","","","","","html-keyboard-response","51","805582","0.0-51.0","","null","<div class=""stimulus-container""><img src=""images/causal_sequence/dog_causal/dog_causal_9.png"" class=""exp-image""></div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","52","809895","0.0-52.0","","4312","<div class=""stimulus-container""><img src=""images/causal_sequence/dog_causal/dog_causal_9.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","dog_causal","causal_sequence","9","","","","","","","","",""
"","","","","","html-keyboard-response","53","813897","0.0-53.0","","null","<div class=""stimulus-container""><img src=""images/causal_sequence/dog_causal/dog_causal_ten.png"" class=""exp-image""></div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","54","815373","0.0-54.0","","1475","<div class=""stimulus-container""><img src=""images/causal_sequence/dog_causal/dog_causal_ten.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","dog_causal","causal_sequence","ten","","","","","","","","",""
"","","","","","html-keyboard-response","55","817376","0.0-55.0","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","56","821378","0.0-56.0","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/self_care_activities_semantic/self_care_activities_semantic_1.png"" class=""exp-image""></div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","57","823179","0.0-57.0","","1800","<div class=""stimulus-container""><img src=""images/semantic_sequence/self_care_activities_semantic/self_care_activities_semantic_1.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","self_care_activities_semantic","semantic_sequence","1","","","","","","","","",""
"","","","","","html-keyboard-response","58","827182","0.0-58.0","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/self_care_activities_semantic/self_care_activities_semantic_2.png"" class=""exp-image""></div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","59","831464","0.0-59.0","","4281","<div class=""stimulus-container""><img src=""images/semantic_sequence/self_care_activities_semantic/self_care_activities_semantic_2.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","self_care_activities_semantic","semantic_sequence","2","","","","","","","","",""
"","","","","","html-keyboard-response","60","835466","0.0-60.0","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/self_care_activities_semantic/self_care_activities_semantic_3.png"" class=""exp-image""></div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","61","847855","0.0-61.0","","12388","<div class=""stimulus-container""><img src=""images/semantic_sequence/self_care_activities_semantic/self_care_activities_semantic_3.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","self_care_activities_semantic","semantic_sequence","3","","","","","","","","",""
"","","","","","html-keyboard-response","62","851857","0.0-62.0","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/self_care_activities_semantic/self_care_activities_semantic_4.png"" class=""exp-image""></div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","63","853085","0.0-63.0","","1227","<div class=""stimulus-container""><img src=""images/semantic_sequence/self_care_activities_semantic/self_care_activities_semantic_4.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","self_care_activities_semantic","semantic_sequence","4","","","","","","","","",""
"","","","","","html-keyboard-response","64","857087","0.0-64.0","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/self_care_activities_semantic/self_care_activities_semantic_5.png"" class=""exp-image""></div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","65","858200","0.0-65.0","","1113","<div class=""stimulus-container""><img src=""images/semantic_sequence/self_care_activities_semantic/self_care_activities_semantic_5.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","self_care_activities_semantic","semantic_sequence","5","","","","","","","","",""
"","","","","","html-keyboard-response","66","862201","0.0-66.0","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/self_care_activities_semantic/self_care_activities_semantic_6.png"" class=""exp-image""></div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","67","863540","0.0-67.0","","1338","<div class=""stimulus-container""><img src=""images/semantic_sequence/self_care_activities_semantic/self_care_activities_semantic_6.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","self_care_activities_semantic","semantic_sequence","6","","","","","","","","",""
"","","","","","html-keyboard-response","68","867544","0.0-68.0","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/self_care_activities_semantic/self_care_activities_semantic_7.png"" class=""exp-image""></div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","69","869763","0.0-69.0","","2218","<div class=""stimulus-container""><img src=""images/semantic_sequence/self_care_activities_semantic/self_care_activities_semantic_7.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","self_care_activities_semantic","semantic_sequence","7","","","","","","","","",""
"","","","","","html-keyboard-response","70","873764","0.0-70.0","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/self_care_activities_semantic/self_care_activities_semantic_8.png"" class=""exp-image""></div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","71","906378","0.0-71.0","","32613","<div class=""stimulus-container""><img src=""images/semantic_sequence/self_care_activities_semantic/self_care_activities_semantic_8.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","self_care_activities_semantic","semantic_sequence","8","","","","","","","","",""
"","","","","","html-keyboard-response","72","910380","0.0-72.0","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/self_care_activities_semantic/self_care_activities_semantic_9.png"" class=""exp-image""></div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","73","911969","0.0-73.0","","1589","<div class=""stimulus-container""><img src=""images/semantic_sequence/self_care_activities_semantic/self_care_activities_semantic_9.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","self_care_activities_semantic","semantic_sequence","9","","","","","","","","",""
"","","","","","html-keyboard-response","74","915971","0.0-74.0","","null","<div class=""stimulus-container""><img src=""images/semantic_sequence/self_care_activities_semantic/self_care_activities_semantic_ten.png"" class=""exp-image""></div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","75","917040","0.0-75.0","","1067","<div class=""stimulus-container""><img src=""images/semantic_sequence/self_care_activities_semantic/self_care_activities_semantic_ten.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","self_care_activities_semantic","semantic_sequence","ten","","","","","","","","",""
"","","","","","html-keyboard-response","76","919042","0.0-76.0","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","77","923045","0.0-77.0","","null","<div class=""stimulus-container""><img src=""images/causal_sequence/package_causal/package_causal_1.png"" class=""exp-image""></div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","78","924730","0.0-78.0","","1684","<div class=""stimulus-container""><img src=""images/causal_sequence/package_causal/package_causal_1.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","package_causal","causal_sequence","1","","","","","","","","",""
"","","","","","html-keyboard-response","79","928732","0.0-79.0","","null","<div class=""stimulus-container""><img src=""images/causal_sequence/package_causal/package_causal_2.png"" class=""exp-image""></div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","80","970984","0.0-80.0","","42251","<div class=""stimulus-container""><img src=""images/causal_sequence/package_causal/package_causal_2.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","package_causal","causal_sequence","2","","","","","","","","",""
"","","","","","html-keyboard-response","81","974987","0.0-81.0","","null","<div class=""stimulus-container""><img src=""images/causal_sequence/package_causal/package_causal_3.png"" class=""exp-image""></div>","null","","","","","","","","","","","","",""
"","","","","","html-button-response","82","976570","0.0-82.0","","1582","<div class=""stimulus-container""><img src=""images/causal_sequence/package_causal/package_causal_3.png"" class=""exp-image""><div class=""question-area""><p>Is there a person?</p></div></div>","0","observation","package_causal","causal_sequence","3","","","","","","","","",""
"","","","","","html-keyboard-response","83","980572","0.0-83.0","","null","<div class=""stimulus-container""><img src=""images/causal_sequence/package_causal/package_causal_4.png"" class=""exp-image""></div>","null","","","","","","","","","","","","",""
