"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","task","folder","sequence_type","img_idx","value","comparison","left_path","right_path","is_attention_check","expected_correct","is_correct"
"true","false","[]","[]","[]","preload","0","4041","0.0-0.0","","","","","","","","","","","","","","",""
"","","","","","instructions","1","11658","0.0-1.0","[{""page_index"":0,""viewing_time"":7616}]","7617","","","","","","","","","","","","",""
"","","","","","instructions","2","16696","0.0-2.0","[{""page_index"":0,""viewing_time"":5036}]","5036","","","","","","","","","","","","",""
"true","","","","","fullscreen","3","21872","0.0-3.0","","4165","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","23887","0.0-4.0","","null","<div class=""transition-square bg-info""><div>Fact</div></div>","null","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","28898","0.0-5.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_1.png"" class=""exp-image""></div>","null","","","","","","","","","","",""
"","","","","","html-button-response","6","31866","0.0-6.0","","2965","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_1.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is there a person in the description or image?</p></div></div>","1","observation","info_3","Fact","1","","","","","","",""
"","","","","","html-keyboard-response","7","36873","0.0-7.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_2.png"" class=""exp-image""></div>","null","","","","","","","","","","",""
"","","","","","html-button-response","8","38090","0.0-8.0","","1214","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_2.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is there a person in the description or image?</p></div></div>","1","observation","info_3","Fact","2","","","","","","",""
"","","","","","html-keyboard-response","9","43095","0.0-9.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_3.png"" class=""exp-image""></div>","null","","","","","","","","","","",""
"","","","","","html-button-response","10","43840","0.0-10.0","","743","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_3.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is there a person in the description or image?</p></div></div>","1","observation","info_3","Fact","3","","","","","","",""
"","","","","","html-keyboard-response","11","48854","0.0-11.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_4.png"" class=""exp-image""></div>","null","","","","","","","","","","",""
"","","","","","html-button-response","12","50115","0.0-12.0","","1259","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_4.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is there a person in the description or image?</p></div></div>","0","observation","info_3","Fact","4","","","","","","",""
"","","","","","html-keyboard-response","13","55119","0.0-13.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_5.png"" class=""exp-image""></div>","null","","","","","","","","","","",""
"","","","","","html-button-response","14","55728","0.0-14.0","","607","<div class=""stimulus-container""><img src=""images_story_vs_info/info_3_5.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is there a person in the description or image?</p></div></div>","1","observation","info_3","Fact","5","","","","","","",""
"","","","","","html-keyboard-response","15","57737","0.0-15.0","","null","<div class=""transition-square bg-story""><div>Story</div></div>","null","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","62744","0.0-16.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_1.png"" class=""exp-image""></div>","null","","","","","","","","","","",""
"","","","","","html-button-response","17","63507","0.0-17.0","","762","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_1.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is there a person in the description or image?</p></div></div>","1","observation","story_2","Story","1","","","","","","",""
"","","","","","html-keyboard-response","18","68511","0.0-18.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_2.png"" class=""exp-image""></div>","null","","","","","","","","","","",""
"","","","","","html-button-response","19","69407","0.0-19.0","","894","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_2.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is there a person in the description or image?</p></div></div>","1","observation","story_2","Story","2","","","","","","",""
"","","","","","html-keyboard-response","20","74410","0.0-20.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_3.png"" class=""exp-image""></div>","null","","","","","","","","","","",""
"","","","","","html-button-response","21","75622","0.0-21.0","","1210","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_3.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is there a person in the description or image?</p></div></div>","1","observation","story_2","Story","3","","","","","","",""
"","","","","","html-keyboard-response","22","80636","0.0-22.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_4.png"" class=""exp-image""></div>","null","","","","","","","","","","",""
"","","","","","html-button-response","23","82072","0.0-23.0","","1435","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_4.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is there a person in the description or image?</p></div></div>","1","observation","story_2","Story","4","","","","","","",""
"","","","","","html-keyboard-response","24","87081","0.0-24.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_5.png"" class=""exp-image""></div>","null","","","","","","","","","","",""
"","","","","","html-button-response","25","88038","0.0-25.0","","955","<div class=""stimulus-container""><img src=""images_story_vs_info/story_2_5.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is there a person in the description or image?</p></div></div>","1","observation","story_2","Story","5","","","","","","",""
"","","","","","html-keyboard-response","26","90054","0.0-26.0","","null","<div class=""transition-square bg-info""><div>Fact</div></div>","null","","","","","","","","","","",""
"","","","","","html-keyboard-response","27","95065","0.0-27.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_4_1.png"" class=""exp-image""></div>","null","","","","","","","","","","",""
"","","","","","html-button-response","28","95944","0.0-28.0","","877","<div class=""stimulus-container""><img src=""images_story_vs_info/info_4_1.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is there a person in the description or image?</p></div></div>","1","observation","info_4","Fact","1","","","","","","",""
"","","","","","html-keyboard-response","29","100951","0.0-29.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_4_2.png"" class=""exp-image""></div>","null","","","","","","","","","","",""
"","","","","","html-button-response","30","101961","0.0-30.0","","1008","<div class=""stimulus-container""><img src=""images_story_vs_info/info_4_2.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is there a person in the description or image?</p></div></div>","1","observation","info_4","Fact","2","","","","","","",""
"","","","","","html-keyboard-response","31","106968","0.0-31.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_4_3.png"" class=""exp-image""></div>","null","","","","","","","","","","",""
"","","","","","html-button-response","32","108414","0.0-32.0","","1444","<div class=""stimulus-container""><img src=""images_story_vs_info/info_4_3.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is there a person in the description or image?</p></div></div>","1","observation","info_4","Fact","3","","","","","","",""
"","","","","","html-keyboard-response","33","113427","0.0-33.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_4_4.png"" class=""exp-image""></div>","null","","","","","","","","","","",""
"","","","","","html-button-response","34","114123","0.0-34.0","","694","<div class=""stimulus-container""><img src=""images_story_vs_info/info_4_4.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is there a person in the description or image?</p></div></div>","1","observation","info_4","Fact","4","","","","","","",""
"","","","","","html-keyboard-response","35","119126","0.0-35.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_4_5.png"" class=""exp-image""></div>","null","","","","","","","","","","",""
"","","","","","html-button-response","36","119941","0.0-36.0","","813","<div class=""stimulus-container""><img src=""images_story_vs_info/info_4_5.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is there a person in the description or image?</p></div></div>","1","observation","info_4","Fact","5","","","","","","",""
"","","","","","html-keyboard-response","37","121953","0.0-37.0","","null","<div class=""transition-square bg-story""><div>Story</div></div>","null","","","","","","","","","","",""
"","","","","","html-keyboard-response","38","126965","0.0-38.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_1_1.png"" class=""exp-image""></div>","null","","","","","","","","","","",""
"","","","","","html-button-response","39","127670","0.0-39.0","","703","<div class=""stimulus-container""><img src=""images_story_vs_info/story_1_1.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is there a person in the description or image?</p></div></div>","1","observation","story_1","Story","1","","","","","","",""
"","","","","","html-keyboard-response","40","132685","0.0-40.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_1_2.png"" class=""exp-image""></div>","null","","","","","","","","","","",""
"","","","","","html-button-response","41","133389","0.0-41.0","","702","<div class=""stimulus-container""><img src=""images_story_vs_info/story_1_2.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is there a person in the description or image?</p></div></div>","1","observation","story_1","Story","2","","","","","","",""
