"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","task","folder","sequence_type","img_idx","value","comparison","left_path","right_path","is_attention_check","expected_correct","is_correct"
"true","false","[]","[]","[]","preload","0","1665","0.0-0.0","","","","","","","","","","","","","","",""
"","","","","","instructions","1","15667","0.0-1.0","[{""page_index"":0,""viewing_time"":14001}]","14002","","","","","","","","","","","","",""
"","","","","","instructions","2","19571","0.0-2.0","[{""page_index"":0,""viewing_time"":3900}]","3901","","","","","","","","","","","","",""
"true","","","","","fullscreen","3","22595","0.0-3.0","","2020","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","24598","0.0-4.0","","null","<div class=""transition-square bg-info""><div>Fact</div></div>","null","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","29600","0.0-5.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_1_1.png"" class=""exp-image""></div>","null","","","","","","","","","","",""
"","","","","","html-button-response","6","32604","0.0-6.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_1_1.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is there a person in the description or image?</p></div></div>","null","observation","info_1","Fact","1","","","","","","",""
"","","","","","html-keyboard-response","7","37606","0.0-7.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_1_2.png"" class=""exp-image""></div>","null","","","","","","","","","","",""
"","","","","","html-button-response","8","39451","0.0-8.0","","1842","<div class=""stimulus-container""><img src=""images_story_vs_info/info_1_2.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is there a person in the description or image?</p></div></div>","1","observation","info_1","Fact","2","","","","","","",""
"","","","","","html-keyboard-response","9","44453","0.0-9.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_1_3.png"" class=""exp-image""></div>","null","","","","","","","","","","",""
"","","","","","html-button-response","10","45528","0.0-10.0","","1073","<div class=""stimulus-container""><img src=""images_story_vs_info/info_1_3.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is there a person in the description or image?</p></div></div>","1","observation","info_1","Fact","3","","","","","","",""
"","","","","","html-keyboard-response","11","50530","0.0-11.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_1_4.png"" class=""exp-image""></div>","null","","","","","","","","","","",""
"","","","","","html-button-response","12","51322","0.0-12.0","","790","<div class=""stimulus-container""><img src=""images_story_vs_info/info_1_4.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is there a person in the description or image?</p></div></div>","1","observation","info_1","Fact","4","","","","","","",""
"","","","","","html-keyboard-response","13","56325","0.0-13.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_1_5.png"" class=""exp-image""></div>","null","","","","","","","","","","",""
"","","","","","html-button-response","14","57218","0.0-14.0","","890","<div class=""stimulus-container""><img src=""images_story_vs_info/info_1_5.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is there a person in the description or image?</p></div></div>","1","observation","info_1","Fact","5","","","","","","",""
"","","","","","html-keyboard-response","15","59220","0.0-15.0","","null","<div class=""transition-square bg-info""><div>Fact</div></div>","null","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","64221","0.0-16.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_2_1.png"" class=""exp-image""></div>","null","","","","","","","","","","",""
"","","","","","html-button-response","17","65306","0.0-17.0","","1082","<div class=""stimulus-container""><img src=""images_story_vs_info/info_2_1.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is there a person in the description or image?</p></div></div>","1","observation","info_2","Fact","1","","","","","","",""
"","","","","","html-keyboard-response","18","70308","0.0-18.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_2_2.png"" class=""exp-image""></div>","null","","","","","","","","","","",""
"","","","","","html-button-response","19","71145","0.0-19.0","","835","<div class=""stimulus-container""><img src=""images_story_vs_info/info_2_2.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is there a person in the description or image?</p></div></div>","1","observation","info_2","Fact","2","","","","","","",""
"","","","","","html-keyboard-response","20","76147","0.0-20.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_2_3.png"" class=""exp-image""></div>","null","","","","","","","","","","",""
"","","","","","html-button-response","21","77631","0.0-21.0","","1481","<div class=""stimulus-container""><img src=""images_story_vs_info/info_2_3.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is there a person in the description or image?</p></div></div>","1","observation","info_2","Fact","3","","","","","","",""
"","","","","","html-keyboard-response","22","82633","0.0-22.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_2_4.png"" class=""exp-image""></div>","null","","","","","","","","","","",""
"","","","","","html-button-response","23","83538","0.0-23.0","","902","<div class=""stimulus-container""><img src=""images_story_vs_info/info_2_4.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is there a person in the description or image?</p></div></div>","1","observation","info_2","Fact","4","","","","","","",""
"","","","","","html-keyboard-response","24","88541","0.0-24.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_2_5.png"" class=""exp-image""></div>","null","","","","","","","","","","",""
"","","","","","html-button-response","25","89048","0.0-25.0","","505","<div class=""stimulus-container""><img src=""images_story_vs_info/info_2_5.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is there a person in the description or image?</p></div></div>","1","observation","info_2","Fact","5","","","","","","",""
"","","","","","html-keyboard-response","26","91049","0.0-26.0","","null","<div class=""transition-square bg-story""><div>Story</div></div>","null","","","","","","","","","","",""
"","","","","","html-keyboard-response","27","96051","0.0-27.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_1.png"" class=""exp-image""></div>","null","","","","","","","","","","",""
