"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","task","folder","sequence_type","img_idx","value","comparison","left_path","right_path","is_attention_check","expected_correct","is_correct"
"true","false","[]","[]","[]","preload","0","3116","0.0-0.0","","","","","","","","","","","","","","",""
"","","","","","instructions","1","5094","0.0-1.0","[{""page_index"":0,""viewing_time"":1977}]","1977","","","","","","","","","","","","",""
"","","","","","instructions","2","7534","0.0-2.0","[{""page_index"":0,""viewing_time"":2440}]","2440","","","","","","","","","","","","",""
"true","","","","","fullscreen","3","10069","0.0-3.0","","1525","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","12079","0.0-4.0","","null","<div class=""transition-square bg-story""><div>Story</div></div>","null","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","17089","0.0-5.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_1.png"" class=""exp-image""></div>","null","","","","","","","","","","",""
"","","","","","html-button-response","6","20090","0.0-6.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_1.png"" class=""exp-image""><div class=""question-area""><p>Is there a person in the description or image?</p></div></div>","null","observation","story_4","Story","1","","","","","","",""
"","","","","","html-keyboard-response","7","25213","0.0-7.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_2.png"" class=""exp-image""></div>","null","","","","","","","","","","",""
"","","","","","html-button-response","8","28217","0.0-8.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_2.png"" class=""exp-image""><div class=""question-area""><p>Is there a person in the description or image?</p></div></div>","null","observation","story_4","Story","2","","","","","","",""
"","","","","","html-keyboard-response","9","33228","0.0-9.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_3.png"" class=""exp-image""></div>","null","","","","","","","","","","",""
"","","","","","html-button-response","10","33941","0.0-10.0","","712","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_3.png"" class=""exp-image""><div class=""question-area""><p>Is there a person in the description or image?</p></div></div>","0","observation","story_4","Story","3","","","","","","",""
"","","","","","html-keyboard-response","11","39341","0.0-11.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_4_4.png"" class=""exp-image""></div>","null","","","","","","","","","","",""
