"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","lockout_ms","experiment","view_history","rt","stimulus","response","task","folder","role","pair_id","order","cell","correct_answer","correct","exposed_role","reward_condition","choice_id","repetition","test_type","comparison_role","spread_direction","critical_position","reward_pair_id","neutral_pair_id","reward_left","left_img","right_img","chose_reward","rt_after_lockout","cue_role","correct_index","rating"
"true","false","[]","[]","[]","preload","0","11709","0.0-0.0","DA8545D9FA084BC393C4221E1D64CD40","01a0cb14-c66a-714d-a949-d56dd2ee8fa2","01a0cb13-d15f-72a0-a4f3-c4f7d1044bee","2500","Pilot8_WithinOrder_v3_2026-09-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","29269","0.0-1.0","DA8545D9FA084BC393C4221E1D64CD40","01a0cb14-c66a-714d-a949-d56dd2ee8fa2","01a0cb13-d15f-72a0-a4f3-c4f7d1044bee","2500","Pilot8_WithinOrder_v3_2026-09-22","[{""page_index"":0,""viewing_time"":11196},{""page_index"":1,""viewing_time"":2306},{""page_index"":2,""viewing_time"":4058}]","17560","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","31471","0.0-2.0","DA8545D9FA084BC393C4221E1D64CD40","01a0cb14-c66a-714d-a949-d56dd2ee8fa2","01a0cb13-d15f-72a0-a4f3-c4f7d1044bee","2500","Pilot8_WithinOrder_v3_2026-09-22","","1197","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","71135","0.0-3.0","DA8545D9FA084BC393C4221E1D64CD40","01a0cb14-c66a-714d-a949-d56dd2ee8fa2","01a0cb13-d15f-72a0-a4f3-c4f7d1044bee","2500","Pilot8_WithinOrder_v3_2026-09-22","[{""page_index"":0,""viewing_time"":39664}]","39664","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","84243","0.0-4.0","DA8545D9FA084BC393C4221E1D64CD40","01a0cb14-c66a-714d-a949-d56dd2ee8fa2","01a0cb13-d15f-72a0-a4f3-c4f7d1044bee","2500","Pilot8_WithinOrder_v3_2026-09-22","","13107","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item1","the_performance_causal","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","85245","0.0-5.0","DA8545D9FA084BC393C4221E1D64CD40","01a0cb14-c66a-714d-a949-d56dd2ee8fa2","01a0cb13-d15f-72a0-a4f3-c4f7d1044bee","2500","Pilot8_WithinOrder_v3_2026-09-22","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","92575","0.0-6.0","DA8545D9FA084BC393C4221E1D64CD40","01a0cb14-c66a-714d-a949-d56dd2ee8fa2","01a0cb13-d15f-72a0-a4f3-c4f7d1044bee","2500","Pilot8_WithinOrder_v3_2026-09-22","","7330","<div class=""stimulus-container""><img src=""images/causal_sequence/the_performance_causal/the_performance_causal_2.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item2","the_performance_causal","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","93576","0.0-7.0","DA8545D9FA084BC393C4221E1D64CD40","01a0cb14-c66a-714d-a949-d56dd2ee8fa2","01a0cb13-d15f-72a0-a4f3-c4f7d1044bee","2500","Pilot8_WithinOrder_v3_2026-09-22","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","100714","0.0-8.0","DA8545D9FA084BC393C4221E1D64CD40","01a0cb14-c66a-714d-a949-d56dd2ee8fa2","01a0cb13-d15f-72a0-a4f3-c4f7d1044bee","2500","Pilot8_WithinOrder_v3_2026-09-22","","7137","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_1.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","0","practice_item1","museum_causal","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","9","101715","0.0-9.0","DA8545D9FA084BC393C4221E1D64CD40","01a0cb14-c66a-714d-a949-d56dd2ee8fa2","01a0cb13-d15f-72a0-a4f3-c4f7d1044bee","2500","Pilot8_WithinOrder_v3_2026-09-22","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","10","111541","0.0-10.0","DA8545D9FA084BC393C4221E1D64CD40","01a0cb14-c66a-714d-a949-d56dd2ee8fa2","01a0cb13-d15f-72a0-a4f3-c4f7d1044bee","2500","Pilot8_WithinOrder_v3_2026-09-22","","9825","<div class=""stimulus-container""><img src=""images/causal_sequence/museum_causal/museum_causal_2.png"" class=""exp-image""><div class=""question-area"" id=""delayed-question"" style=""visibility:hidden; margin-top:15px;""><p style=""font-size:20px; font-weight:bold;"">Does a person appear in this image, or does the word ""person"" appear as text?</p></div></div>","1","practice_item2","museum_causal","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","112542","0.0-11.0","DA8545D9FA084BC393C4221E1D64CD40","01a0cb14-c66a-714d-a949-d56dd2ee8fa2","01a0cb13-d15f-72a0-a4f3-c4f7d1044bee","2500","Pilot8_WithinOrder_v3_2026-09-22","","null","<div style=""background-color: white; width: 100vw; height: 100vh;""></div>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","12","249111","0.0-12.0","DA8545D9FA084BC393C4221E1D64CD40","01a0cb14-c66a-714d-a949-d56dd2ee8fa2","01a0cb13-d15f-72a0-a4f3-c4f7d1044bee","2500","Pilot8_WithinOrder_v3_2026-09-22","[{""page_index"":0,""viewing_time"":136568}]","136568","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
