"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","stimulus","response","task","block_type","img_idx"
"true","false","[]","[]","[]","preload","0","2","0.0-0.0","","","","","","",""
"","","","","","instructions","1","7288","0.0-1.0","[{""page_index"":0,""viewing_time"":1082},{""page_index"":1,""viewing_time"":6204}]","7286","","","","",""
"true","","","","","fullscreen","2","9334","0.0-2.0","","1042","","","","",""
"","","","","","instructions","3","19291","0.0-3.0","[{""page_index"":0,""viewing_time"":9956}]","9956","","","","",""
"","","","","","html-keyboard-response","4","21297","0.0-4.0","","null","<div class=""transition-square bg-info""><div>FACTS</div></div>","null","","",""
"","","","","","html-keyboard-response","5","24306","0.0-5.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_4_1.png"" class=""exp-image""></div>","null","","",""
"","","","","","html-button-response","6","28157","0.0-6.0","","3849","<div class=""stimulus-container""><img src=""images_story_vs_info/info_4_1.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is this image part of a Story or Facts?</p></div></div>","1","observation","info","1"
"","","","","","html-keyboard-response","7","31170","0.0-7.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_4_2.png"" class=""exp-image""></div>","null","","",""
"","","","","","html-button-response","8","31872","0.0-8.0","","700","<div class=""stimulus-container""><img src=""images_story_vs_info/info_4_2.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is this image part of a Story or Facts?</p></div></div>","1","observation","info","2"
"","","","","","html-keyboard-response","9","34879","0.0-9.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_4_3.png"" class=""exp-image""></div>","null","","",""
"","","","","","html-button-response","10","38035","0.0-10.0","","3155","<div class=""stimulus-container""><img src=""images_story_vs_info/info_4_3.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is this image part of a Story or Facts?</p></div></div>","1","observation","info","3"
"","","","","","html-keyboard-response","11","41039","0.0-11.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_4_4.png"" class=""exp-image""></div>","null","","",""
"","","","","","html-button-response","12","41800","0.0-12.0","","761","<div class=""stimulus-container""><img src=""images_story_vs_info/info_4_4.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is this image part of a Story or Facts?</p></div></div>","1","observation","info","4"
"","","","","","html-keyboard-response","13","44807","0.0-13.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_4_5.png"" class=""exp-image""></div>","null","","",""
"","","","","","html-button-response","14","46317","0.0-14.0","","1510","<div class=""stimulus-container""><img src=""images_story_vs_info/info_4_5.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is there a person in this image?</p></div></div>","1","observation","info","5"
"","","","","","html-keyboard-response","15","48320","0.0-15.0","","null","<div class=""transition-square bg-story""><div>STORY</div></div>","null","","",""
"","","","","","html-keyboard-response","16","51327","0.0-16.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_3_1.png"" class=""exp-image""></div>","null","","",""
"","","","","","html-button-response","17","51891","0.0-17.0","","563","<div class=""stimulus-container""><img src=""images_story_vs_info/story_3_1.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is this image part of a Story or Facts?</p></div></div>","1","observation","story","1"
"","","","","","html-keyboard-response","18","54895","0.0-18.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_3_2.png"" class=""exp-image""></div>","null","","",""
"","","","","","html-button-response","19","56702","0.0-19.0","","1806","<div class=""stimulus-container""><img src=""images_story_vs_info/story_3_2.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is there a person in this image?</p></div></div>","1","observation","story","2"
"","","","","","html-keyboard-response","20","59712","0.0-20.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_3_3.png"" class=""exp-image""></div>","null","","",""
"","","","","","html-button-response","21","61064","0.0-21.0","","1351","<div class=""stimulus-container""><img src=""images_story_vs_info/story_3_3.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is there a person in this image?</p></div></div>","1","observation","story","3"
"","","","","","html-keyboard-response","22","64072","0.0-22.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_3_4.png"" class=""exp-image""></div>","null","","",""
"","","","","","html-button-response","23","64570","0.0-23.0","","497","<div class=""stimulus-container""><img src=""images_story_vs_info/story_3_4.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is this image part of a Story or Facts?</p></div></div>","1","observation","story","4"
"","","","","","html-keyboard-response","24","67576","0.0-24.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/story_3_5.png"" class=""exp-image""></div>","null","","",""
"","","","","","html-button-response","25","68069","0.0-25.0","","492","<div class=""stimulus-container""><img src=""images_story_vs_info/story_3_5.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is there a person in this image?</p></div></div>","1","observation","story","5"
"","","","","","html-keyboard-response","26","70073","0.0-26.0","","null","<div class=""transition-square bg-info""><div>FACTS</div></div>","null","","",""
"","","","","","html-keyboard-response","27","73079","0.0-27.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_1_1.png"" class=""exp-image""></div>","null","","",""
"","","","","","html-button-response","28","73658","0.0-28.0","","578","<div class=""stimulus-container""><img src=""images_story_vs_info/info_1_1.png"" class=""exp-image""><div class=""question-area""><p style=""font-size: 20px; font-weight: bold;"">Is there a person in this image?</p></div></div>","1","observation","info","1"
"","","","","","html-keyboard-response","29","76664","0.0-29.0","","null","<div class=""stimulus-container""><img src=""images_story_vs_info/info_1_2.png"" class=""exp-image""></div>","null","","",""
